"Month","Day","Temp","Ozone","Wind","Solar.R"
5,1,67,41,7.4,190
5,2,72,36,8,118
5,3,74,12,12.6,149
5,4,62,18,11.5,313
5,7,65,23,8.6,299
5,8,59,19,13.8,99
5,9,61,8,20.1,19
5,12,69,16,9.7,256
5,13,66,11,9.2,290
5,14,68,14,10.9,274
5,15,58,18,13.2,65
5,16,64,14,11.5,334
5,17,66,34,12,307
5,18,57,6,18.4,78
5,19,68,30,11.5,322
5,20,62,11,9.7,44
5,21,59,1,9.7,8
5,22,73,11,16.6,320
5,23,61,4,9.7,25
5,24,61,32,12,92
5,28,67,23,12,13
5,29,81,45,14.9,252
5,30,79,115,5.7,223
5,31,76,37,7.4,279
6,7,82,29,9.7,127
6,9,90,71,13.8,291
6,10,87,39,11.5,323
6,13,82,23,8,148
6,16,77,21,14.9,191
6,17,72,37,20.7,284
6,18,65,20,9.2,37
6,19,73,12,11.5,120
6,20,76,13,10.3,137
7,1,84,135,4.1,269
7,2,85,49,9.2,248
7,3,81,32,9.2,236
7,5,83,64,4.6,175
7,6,83,40,10.9,314
7,7,88,77,5.1,276
7,8,92,97,6.3,267
7,9,92,97,5.7,272
7,10,89,85,7.4,175
7,12,73,10,14.3,264
7,13,81,27,14.9,175
7,15,80,7,14.3,48
7,16,81,48,6.9,260
7,17,82,35,10.3,274
7,18,84,61,6.3,285
7,19,87,79,5.1,187
7,20,85,63,11.5,220
7,21,74,16,6.9,7
7,24,86,80,8.6,294
7,25,85,108,8,223
7,26,82,20,8.6,81
7,27,86,52,12,82
7,28,88,82,7.4,213
7,29,86,50,7.4,275
7,30,83,64,7.4,253
7,31,81,59,9.2,254
8,1,81,39,6.9,83
8,2,81,9,13.8,24
8,3,82,16,7.4,77
8,7,89,122,4,255
8,8,90,89,10.3,229
8,9,90,110,8,207
8,12,86,44,11.5,192
8,13,82,28,11.5,273
8,14,80,65,9.7,157
8,16,77,22,10.3,71
8,17,79,59,6.3,51
8,18,76,23,7.4,115
8,19,78,31,10.9,244
8,20,78,44,10.3,190
8,21,77,21,15.5,259
8,22,72,9,14.3,36
8,24,79,45,9.7,212
8,25,81,168,3.4,238
8,26,86,73,8,215
8,28,97,76,9.7,203
8,29,94,118,2.3,225
8,30,96,84,6.3,237
8,31,94,85,6.3,188
9,1,91,96,6.9,167
9,2,92,78,5.1,197
9,3,93,73,2.8,183
9,4,93,91,4.6,189
9,5,87,47,7.4,95
9,6,84,32,15.5,92
9,7,80,20,10.9,252
9,8,78,23,10.3,220
9,9,75,21,10.9,230
9,10,73,24,9.7,259
9,11,81,44,14.9,236
9,12,76,21,15.5,259
9,13,77,28,6.3,238
9,14,71,9,10.9,24
9,15,71,13,11.5,112
9,16,78,46,6.9,237
9,17,67,18,13.8,224
9,18,76,13,10.3,27
9,19,68,24,10.3,238
9,20,82,16,8,201
9,21,64,13,12.6,238
9,22,71,23,9.2,14
9,23,81,36,10.3,139
9,24,69,7,10.3,49
9,25,63,14,16.6,20
9,26,70,30,6.9,193
9,28,75,14,14.3,191
9,29,76,18,8,131
9,30,68,20,11.5,223
