"candidate_id","station","question_id","score","max_score","examiner_id"
"C0001","01 History Taking","S01-Q1",4,4,"E10"
"C0001","01 History Taking","S01-Q2",4,4,"E11"
"C0001","01 History Taking","S01-Q3",4,4,"E08"
"C0001","01 History Taking","S01-Q4",1,4,"E05"
"C0001","01 History Taking","S01-Q5",3,4,"E05"
"C0001","02 Cardio Exam","S02-Q1",3,4,"E02"
"C0001","02 Cardio Exam","S02-Q2",4,4,"E12"
"C0001","02 Cardio Exam","S02-Q3",4,4,"E02"
"C0001","02 Cardio Exam","S02-Q4",2,4,"E05"
"C0001","02 Cardio Exam","S02-Q5",3,4,"E12"
"C0001","03 Resp Exam","S03-Q1",2,4,"E10"
"C0001","03 Resp Exam","S03-Q2",3,4,"E07"
"C0001","03 Resp Exam","S03-Q3",4,4,"E05"
"C0001","03 Resp Exam","S03-Q4",2,4,"E09"
"C0001","03 Resp Exam","S03-Q5",3,4,"E10"
"C0001","04 Abdo Exam","S04-Q1",3,4,"E03"
"C0001","04 Abdo Exam","S04-Q2",1,4,"E12"
"C0001","04 Abdo Exam","S04-Q3",1,4,"E04"
"C0001","04 Abdo Exam","S04-Q4",4,4,"E05"
"C0001","04 Abdo Exam","S04-Q5",2,4,"E10"
"C0001","05 Neuro Exam","S05-Q1",4,4,"E09"
"C0001","05 Neuro Exam","S05-Q2",3,4,"E01"
"C0001","05 Neuro Exam","S05-Q3",4,4,"E02"
"C0001","05 Neuro Exam","S05-Q4",3,4,"E09"
"C0001","05 Neuro Exam","S05-Q5",1,4,"E11"
"C0001","06 Communication","S06-Q1",2,4,"E11"
"C0001","06 Communication","S06-Q2",3,4,"E01"
"C0001","06 Communication","S06-Q3",4,4,"E09"
"C0001","06 Communication","S06-Q4",2,4,"E07"
"C0001","06 Communication","S06-Q5",4,4,"E07"
"C0001","07 Prescribing","S07-Q1",3,4,"E04"
"C0001","07 Prescribing","S07-Q2",4,4,"E03"
"C0001","07 Prescribing","S07-Q3",1,4,"E04"
"C0001","07 Prescribing","S07-Q4",3,4,"E03"
"C0001","07 Prescribing","S07-Q5",3,4,"E04"
"C0001","08 Data Interp","S08-Q1",4,4,"E11"
"C0001","08 Data Interp","S08-Q2",4,4,"E04"
"C0001","08 Data Interp","S08-Q3",3,4,"E04"
"C0001","08 Data Interp","S08-Q4",4,4,"E01"
"C0001","08 Data Interp","S08-Q5",2,4,"E02"
"C0001","09 Practical Skills","S09-Q1",4,4,"E10"
"C0001","09 Practical Skills","S09-Q2",3,4,"E04"
"C0001","09 Practical Skills","S09-Q3",2,4,"E06"
"C0001","09 Practical Skills","S09-Q4",3,4,"E11"
"C0001","09 Practical Skills","S09-Q5",2,4,"E06"
"C0001","10 Ethics","S10-Q1",2,4,"E10"
"C0001","10 Ethics","S10-Q2",4,4,"E04"
"C0001","10 Ethics","S10-Q3",2,4,"E09"
"C0001","10 Ethics","S10-Q4",3,4,"E11"
"C0001","10 Ethics","S10-Q5",4,4,"E01"
"C0002","01 History Taking","S01-Q1",2,4,"E03"
"C0002","01 History Taking","S01-Q2",1,4,"E08"
"C0002","01 History Taking","S01-Q3",3,4,"E01"
"C0002","01 History Taking","S01-Q4",3,4,"E11"
"C0002","01 History Taking","S01-Q5",0,4,"E10"
"C0002","02 Cardio Exam","S02-Q1",1,4,"E02"
"C0002","02 Cardio Exam","S02-Q2",1,4,"E02"
"C0002","02 Cardio Exam","S02-Q3",2,4,"E09"
"C0002","02 Cardio Exam","S02-Q4",0,4,"E02"
"C0002","02 Cardio Exam","S02-Q5",3,4,"E07"
"C0002","03 Resp Exam","S03-Q1",1,4,"E05"
"C0002","03 Resp Exam","S03-Q2",2,4,"E01"
"C0002","03 Resp Exam","S03-Q3",4,4,"E10"
"C0002","03 Resp Exam","S03-Q4",1,4,"E03"
"C0002","03 Resp Exam","S03-Q5",1,4,"E03"
"C0002","04 Abdo Exam","S04-Q1",2,4,"E09"
"C0002","04 Abdo Exam","S04-Q2",2,4,"E08"
"C0002","04 Abdo Exam","S04-Q3",0,4,"E05"
"C0002","04 Abdo Exam","S04-Q4",2,4,"E07"
"C0002","04 Abdo Exam","S04-Q5",1,4,"E02"
"C0002","05 Neuro Exam","S05-Q1",1,4,"E01"
"C0002","05 Neuro Exam","S05-Q2",0,4,"E08"
"C0002","05 Neuro Exam","S05-Q3",1,4,"E02"
"C0002","05 Neuro Exam","S05-Q4",2,4,"E05"
"C0002","05 Neuro Exam","S05-Q5",1,4,"E09"
"C0002","06 Communication","S06-Q1",1,4,"E02"
"C0002","06 Communication","S06-Q2",0,4,"E03"
"C0002","06 Communication","S06-Q3",1,4,"E04"
"C0002","06 Communication","S06-Q4",1,4,"E09"
"C0002","06 Communication","S06-Q5",2,4,"E08"
"C0002","07 Prescribing","S07-Q1",4,4,"E06"
"C0002","07 Prescribing","S07-Q2",1,4,"E09"
"C0002","07 Prescribing","S07-Q3",1,4,"E06"
"C0002","07 Prescribing","S07-Q4",3,4,"E06"
"C0002","07 Prescribing","S07-Q5",0,4,"E05"
"C0002","08 Data Interp","S08-Q1",2,4,"E07"
"C0002","08 Data Interp","S08-Q2",1,4,"E09"
"C0002","08 Data Interp","S08-Q3",3,4,"E11"
"C0002","08 Data Interp","S08-Q4",2,4,"E12"
"C0002","08 Data Interp","S08-Q5",4,4,"E06"
"C0002","09 Practical Skills","S09-Q1",4,4,"E08"
"C0002","09 Practical Skills","S09-Q2",3,4,"E08"
"C0002","09 Practical Skills","S09-Q3",3,4,"E10"
"C0002","09 Practical Skills","S09-Q4",1,4,"E10"
"C0002","09 Practical Skills","S09-Q5",2,4,"E07"
"C0002","10 Ethics","S10-Q1",1,4,"E08"
"C0002","10 Ethics","S10-Q2",2,4,"E12"
"C0002","10 Ethics","S10-Q3",3,4,"E11"
"C0002","10 Ethics","S10-Q4",4,4,"E04"
"C0002","10 Ethics","S10-Q5",2,4,"E11"
"C0003","01 History Taking","S01-Q1",2,4,"E03"
"C0003","01 History Taking","S01-Q2",2,4,"E04"
"C0003","01 History Taking","S01-Q3",3,4,"E07"
"C0003","01 History Taking","S01-Q4",0,4,"E01"
"C0003","01 History Taking","S01-Q5",3,4,"E12"
"C0003","02 Cardio Exam","S02-Q1",4,4,"E09"
"C0003","02 Cardio Exam","S02-Q2",1,4,"E01"
"C0003","02 Cardio Exam","S02-Q3",4,4,"E11"
"C0003","02 Cardio Exam","S02-Q4",4,4,"E07"
"C0003","02 Cardio Exam","S02-Q5",2,4,"E04"
"C0003","03 Resp Exam","S03-Q1",1,4,"E12"
"C0003","03 Resp Exam","S03-Q2",2,4,"E08"
"C0003","03 Resp Exam","S03-Q3",2,4,"E03"
"C0003","03 Resp Exam","S03-Q4",1,4,"E12"
"C0003","03 Resp Exam","S03-Q5",0,4,"E03"
"C0003","04 Abdo Exam","S04-Q1",3,4,"E08"
"C0003","04 Abdo Exam","S04-Q2",1,4,"E12"
"C0003","04 Abdo Exam","S04-Q3",0,4,"E05"
"C0003","04 Abdo Exam","S04-Q4",3,4,"E09"
